rank,match_score,job_title,company_name,location,seniority_level,employment_type,matching_points,gaps,posted_at,apply_url
1,56,AI ML Engineer (7+ Years),InApp,United States,Mid-Senior level,Full-time,"Matching skills: pytorch, ci/cd, embeddings, git, fine-tuning | AI/ML focused role | Seniority level matches experience",None identified,2026-02-08,https://inapp.com/jobs/ai-ml-engineer-7-years/
2,49,AI/ML Engineer,Jobs via Dice,"Phoenix, AZ",Mid-Senior level,Full-time,"Matching skills: pytorch, git, fine-tuning, prompt engineering, postgresql | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://click.appcast.io/t/e7MH8THoWi4JUmIv15Gw1VmQy9jYqzSDpK1WUQc-P-c=
3,46,Senior Healthcare Data Engineer(Fulltime Position),Jobs via Dice,"California, United States",Mid-Senior level,Full-time,"Matching skills: spark, ci/cd, postgresql, scala, pyspark | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://click.appcast.io/t/cix1cvbiWf8eWlx-chGiBmqoBMg93CZniRoG50pEgQI=
4,45,Senior Machine Learning Engineer II,Capital Rx,"Denver, CO",Mid-Senior level,Full-time,"Matching skills: rag, pytorch, scala, machine learning, nlp | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://job-boards.greenhouse.io/capitalrx/jobs/4749307008
5,45,Entry level AI/ML Engineer: SVL,Lensa,"San Jose, CA",Entry level,Full-time,"Matching skills: pytorch, git, transformer, fine-tuning, aws | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-08,https://lensa.com/cgw/c32ec883215a4bb8864b083790bcba54tjo1?jpsi=directemployers_no_redirect&publisher_preference=easier_apply&utm_campaign=Computer%20Occupations&utm_medium=slot&utm_source=linkedin&utm_term=jse
6,45,Senior Machine Learning Engineer - Search (REMOTE),DICK'S Sporting Goods,United States,Mid-Senior level,Full-time,"Matching skills: pytorch, embeddings, git, transformer, aws | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://click.appcast.io/t/rPl8si2bJorsR2MvBJJZgKhFVtD8guwFPdDZD21MQ_OepJqr5NuoStXkVoL5ZNnD?source=LinkedIn
7,44,"Senior Machine Learning Engineer, Ad Platforms",The Walt Disney Company,"Seattle, WA",Mid-Senior level,Full-time,"Matching skills: computer vision, pytorch, scala, sql, machine learning | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://www.disneycareers.com/job/-/-/391/91457070816?source=LINKEDIN_JOB_SLOTS
8,44,AI/ML Engineer - Mission,"Tyto Athene, LLC","Reston, VA",Entry level,Full-time,"Matching skills: pytorch, ci/cd, git, fine-tuning, aws | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-07,https://www.techcareers.com/job.asp?id=3152424282&aff=5F88FB33-7ECC-414D-823B-00B1224EBD09
9,44,AI / ML Engineer,Actalent,"Herndon, VA",Entry level,Contract,"Matching skills: pytorch, ci/cd, aws, postgresql, sql | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-07,https://jsv3.recruitics.com/redirect?rx_cid=3374&rx_jobId=JP-005815676&rx_url=https%3A%2F%2Fars2.equest.com%2F%3Ficid%3Dlinkedin_recruitics%26response_id%3Dfeefb8689e771bc8f5f355f0d0dd15a0%26rx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D432887%26rx_id%3Db3d08cfb-03bc-11f1-964c-116cc565d99d%26rx_job%3DJP-005815676%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20260208T061203Z%26rx_vp%3Dslots
10,44,AI / ML Engineer,Actalent,"Herndon, VA",Entry level,Contract,"Matching skills: pytorch, ci/cd, aws, postgresql, sql | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-07,https://jsv3.recruitics.com/redirect?rx_cid=3374&rx_jobId=JP-005816449&rx_url=https%3A%2F%2Fars2.equest.com%2F%3Ficid%3Dlinkedin_recruitics%26response_id%3Db7e2182ebec4608be88dc816ffb3091c%26rx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D432887%26rx_id%3Dbb58585d-03bc-11f1-964c-49f73fddd4b9%26rx_job%3DJP-005816449%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20260208T061203Z%26rx_vp%3Dslots
11,44,Security Data Science Engineer,Jobs via Dice,"San Francisco, CA",Entry level,Full-time,"Matching skills: spark, ci/cd, scala, mlops, sql | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-08,https://click.appcast.io/t/NV33XeqHhEmuyYRblkUSUWyoKgxVjz5Cox7YEiovnC4=
12,43,Entry level AI/ML Engineer: SVL,IBM,"San Jose, CA",Entry level,Full-time,"Matching skills: rag, pytorch, mlops, machine learning, transformer | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-07,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=79649&src=SN_LinkedIn&source=LinkedIn
13,42,Distinguished Software Engineer (Big Data & AI),Jobs via Dice,"California, United States",Mid-Senior level,Full-time,"Matching skills: rag, spark, kafka, mlops, sql | AI/ML focused role | Seniority level matches experience",None identified,2026-02-08,https://click.appcast.io/t/bxbccPVR5lFsEZ9zHntfmOrhMIrghzz7h1UedmL17eo=
14,42,AI/ML Engineer (FULLTIME TELEWORK),Jobs via Dice,"Fort Worth, TX",Entry level,Full-time,"Matching skills: rag, pytorch, scala, machine learning, git | AI/ML focused role",None identified,2026-02-08,https://click.appcast.io/t/jfmehqwDfMV5YsM8dceNiE61V18pIvn4b-X5M-_m-_0=
15,42,Agentic AI/ML Engineer,Lensa,"Frisco, TX",Entry level,Full-time,"Matching skills: rag, scala, sql, machine learning, langchain | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-08,https://lensa.com/cgw/4f2349b066d4416fa3eb086c3008901ctjo1?jpsi=directemployers_no_redirect&publisher_preference=easier_apply&utm_campaign=Computer%20Occupations&utm_medium=slot&utm_source=linkedin&utm_term=jse
16,41,AI / ML Engineer,Emma of Torre.ai,"San Francisco, CA",Mid-Senior level,Full-time,"Matching skills: rag, pytorch, kubernetes, machine learning, fine-tuning | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://torre.ai/s/rF4ErgSy2x?candidate_source=linkedin-apply-url
17,40,Senior MLOps Engineer - Artificial Intelligence,Bloomberg,"New York, NY",Mid-Senior level,Full-time,"Matching skills: pytorch, kubernetes, mlops, machine learning, transformer | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://click.appcast.io/t/oJHS6GRZGM8B6uZMgMy61ynLA7UmEBWwekqkHDYoCB9vxJm9jetqOh8nWMW8mKkM?src=LinkedIn
18,39,Senior AI/ML Engineer – AWS GenAI & Enterprise MLOps,Jobs via Dice,"Jersey City, NJ",Mid-Senior level,Full-time,"Matching skills: rag, ci/cd, sagemaker, mlops, nlp | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-08,https://click.appcast.io/t/2S-mbZ-anjno8kuBuSBbugzPx-_odTqhjW6XaGNjmRU=
19,39,"Senior+ Software Engineer, Research Tools",Anthropic,"New York, NY",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, git, r, aws | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://job-boards.greenhouse.io/anthropic/jobs/4981828008?gh_src=LinkedIn
20,39,"Senior+ Software Engineer, Research Tools",Anthropic,"San Francisco, CA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, git, r, aws | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://job-boards.greenhouse.io/anthropic/jobs/4981828008?gh_src=LinkedIn
21,39,"Machine Learning Systems Engineer, RL Engineering",Anthropic,"New York, NY",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, git, r, aws | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://job-boards.greenhouse.io/anthropic/jobs/4952051008?gh_src=LinkedIn
22,39,Principal Engineer – AI / Machine Learning,FlairX,San Francisco Bay Area,Mid-Senior level,Full-time,"Matching skills: pytorch, ci/cd, scala, kubernetes, mlops | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-08,
23,39,"Software Engineer - ML, Creative Optimization Ads",Luma AI,"Palo Alto, CA",Mid-Senior level,Full-time,"Matching skills: rag, pytorch, scala, kubernetes, machine learning | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://jobs.gem.com/lumalabs-ai/am9icG9zdDra9P06TgmiKOq6Vw5390No?src=LinkedIn+Paid
24,39,"Machine Learning Systems Engineer, RL Engineering",Anthropic,"San Francisco, CA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, git, r, aws | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://job-boards.greenhouse.io/anthropic/jobs/4952051008?gh_src=LinkedIn
25,39,"Machine Learning Systems Engineer, RL Engineering",Anthropic,"Seattle, WA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, git, r, aws | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://job-boards.greenhouse.io/anthropic/jobs/4952051008?gh_src=LinkedIn
26,38,"Senior/Principal AI Platform Engineer, Agentic Systems",Roblox,"San Mateo, CA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, git, vector database, r | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://careers.roblox.com/jobs/7342441?gh_jid=7342441&gh_src=da92d0c91
27,37,"Principal Product Manager, Search Platform",Moveworks,"Mountain View, CA",Mid-Senior level,Full-time,"Matching skills: machine learning, git, github, r, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-08,https://www.moveworks.com/us/en/company/careers/position?gh_jid=8194533002&gh_src=690c36f92us
28,36,"Senior Customer Success Specialist - GenAI, AWS Specialist and Partner Organization",Amazon Web Services (AWS),"Cupertino, CA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, r, aws, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.amazon.jobs/jobs/3138174/senior-customer-success-specialist\u002d\u002dgenai-aws-specialist-and-partner-organization?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
29,36,"Senior Customer Success Specialist - GenAI, AWS Specialist and Partner Organization",Amazon Web Services (AWS),"East Palo Alto, CA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, r, aws, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.amazon.jobs/jobs/3138174/senior-customer-success-specialist\u002d\u002dgenai-aws-specialist-and-partner-organization?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
30,36,"Senior Customer Success Specialist - GenAI, AWS Specialist and Partner Organization",Amazon Web Services (AWS),"Seattle, WA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, r, aws, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.amazon.jobs/jobs/3138174/senior-customer-success-specialist\u002d\u002dgenai-aws-specialist-and-partner-organization?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
31,36,Senior AI/ML Engineer,Jobot,"McLean, VA",Not Applicable,Full-time,"Matching skills: rag, kubernetes, ci/cd, sql, embeddings | AI/ML focused role | Cloud platform experience matches",Limited skill overlap with job requirements,2026-02-07,
32,36,"Senior Customer Success Specialist - GenAI, AWS Specialist and Partner Organization",Amazon Web Services (AWS),"San Francisco, CA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, r, aws, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.amazon.jobs/jobs/3138174/senior-customer-success-specialist\u002d\u002dgenai-aws-specialist-and-partner-organization?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
33,36,"Senior Customer Success Specialist - GenAI, AWS Specialist and Partner Organization",Amazon Web Services (AWS),"Sunnyvale, CA",Mid-Senior level,Full-time,"Matching skills: rag, machine learning, r, aws, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.amazon.jobs/jobs/3138174/senior-customer-success-specialist\u002d\u002dgenai-aws-specialist-and-partner-organization?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
34,35,"Senior Software Engineer - (Python, Backend, Document AI/ML) - *HYBRID*",GEICO,"Palo Alto, CA",Mid-Senior level,Full-time,"Matching skills: rag, pytorch, ci/cd, mlops, machine learning | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-08,https://click.appcast.io/t/_c847ylGORmhsfjfNcw9cdXxTzZtHjBHxClY0x1OfbM=?source=LinkedIn
35,35,"Senior Software Engineer, Cloud-Native Stack – CSP Engagements",NVIDIA,"Austin, TX",Mid-Senior level,Full-time,"Matching skills: rag, kubernetes, ci/cd, spark, terraform | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer\u002d\u002dCloud-Native-Stack\u002d\u002d-CSP-Engagements_JR2001098?source=jobboardlinkedin
36,34,"Manager of Solutions Architecture, Applied AI (Industries)",Anthropic,"San Francisco, CA",Mid-Senior level,Full-time,"Matching skills: rag, git, r, aws, gpt | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://job-boards.greenhouse.io/anthropic/jobs/4964610008?gh_src=LinkedIn
37,34,"AI Research Engineer, FB Media Core - Video",Meta,"Menlo Park, CA",Not Applicable,Full-time,"Matching skills: computer vision, pytorch, rag, spark, machine learning | AI/ML focused role",Limited skill overlap with job requirements,2026-02-07,https://jsv3.recruitics.com/redirect?rx_cid=3239&rx_jobId=a1KDp00000CZLloMAH_1001&rx_url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F1431826352003434%2F%3Frx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D126320%26rx_id%3D626a6276-03bc-11f1-99b3-edcc67ea9be5%26rx_job%3Da1KDp00000CZLloMAH_1001%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20260208T001202Z%26rx_vp%3Dslots%26utm_campaign%3DJob%252Bboard%26utm_medium%3Djobs%26utm_source%3DLIpaid
38,34,Mid Artificial Intelligence and Machine Learning Engineer,Jobs via Dice,"McLean, VA",Entry level,Part-time,"Matching skills: rag, pytorch, ci/cd, scala, spark | AI/ML focused role | Cloud platform experience matches",Limited skill overlap with job requirements,2026-02-07,https://click.appcast.io/t/KRNVR86NeLEMc7YEYSy-PxOUT_6L9Kl_72abqGRLplU=
39,34,"Principal Software Engineer, Simulation Platform - CoreAI",Jobs via Dice,"Redmond, WA",Mid-Senior level,Full-time,"Matching skills: pytorch, r, aws, tensorflow, python | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-08,https://click.appcast.io/t/lHEWCIm0RwDN5QnI05zSDT3-yGY9QQFibEf5eFAyVxU=
40,34,"Manager of Solutions Architecture, Applied AI (Industries)",Anthropic,"New York, NY",Mid-Senior level,Full-time,"Matching skills: rag, git, r, aws, gpt | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://job-boards.greenhouse.io/anthropic/jobs/4964610008?gh_src=LinkedIn
41,34,"AI Research Engineer, FB Media Core - Video",Meta,"Bellevue, WA",Not Applicable,Full-time,"Matching skills: computer vision, pytorch, rag, spark, machine learning | AI/ML focused role",Limited skill overlap with job requirements,2026-02-07,https://jsv3.recruitics.com/redirect?rx_cid=3239&rx_jobId=a1KDp00000CZLloMAH&rx_url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F1431826352003434%2F%3Frx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D126320%26rx_id%3D63d8beec-03bc-11f1-99b3-7167c409d780%26rx_job%3Da1KDp00000CZLloMAH%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20260208T001202Z%26rx_vp%3Dslots%26utm_campaign%3DJob%252Bboard%26utm_medium%3Djobs%26utm_source%3DLIpaid
42,34,Sr. Systems Engineer III (6184),MetroStar,"Washington, DC",Mid-Senior level,Full-time,"Matching skills: rag, mlops, git, r, aws | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,
43,34,"Senior Software Development Engineer, Intelligence Data Services, Amazon Leo",Amazon,"Bellevue, WA",Mid-Senior level,Full-time,"Matching skills: rag, ocr, r, aws, lambda | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.amazon.jobs/jobs/3131964/senior-software-development-engineer-intelligence-data-services-amazon-leo?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
44,33,"Senior Systems Engineer, OS Automation",CoreWeave,"New York, NY",Mid-Senior level,Full-time,"Matching skills: rag, kubernetes, ci/cd, git, ner | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://coreweave.com/careers/job?4396057006&board=coreweave&gh_jid=4396057006
45,33,AI / ML Engineer,Accenture Federal Services,"Columbus, OH",Entry level,Full-time,"Matching skills: pytorch, ci/cd, mlops, machine learning, git | AI/ML focused role | Cloud platform experience matches",Limited skill overlap with job requirements,2026-02-07,https://boards.greenhouse.io/accenturefederalservices/jobs/4614713006?gh_jid=4614713006&gh_src=17d6aa496us&source=LinkedIn
46,32,Site Reliability Engineer - Data Platform,Kraken,United States,Mid-Senior level,Full-time,"Matching skills: rag, kubernetes, ci/cd, scala, spark | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://jobs.ashbyhq.com/kraken.com/5d12ea9c-3894-481d-ab93-8db375ec7680/application?utm_source=LinkedIn
47,32,Sr. AI/ML Engineer II (6182),MetroStar,"Washington, DC",Mid-Senior level,Full-time,"Matching skills: rag, scala, mlops, git, r | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,
48,30,"Senior Principal Software Engineer, AI Infra Compute",Oracle,"Austin, TX",Mid-Senior level,Full-time,"Matching skills: rag, r, aws, docker, ner | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/322627/?utm_medium=jobboard&utm_source=LinkedIn
49,30,Digital Solution Architect,Jobs via Dice,"Charlotte, NC",Mid-Senior level,Full-time,"Matching skills: rag, ci/cd, kafka, terraform, git | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://click.appcast.io/t/IDB65tkotV0GRzAGbLgA6J901bhim27xcXO7XHsKrsk=
50,30,Principal Engineer,Broadcom,"San Jose, CA",Mid-Senior level,Full-time,"Matching skills: rag, r, aws, python, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://broadcom.wd1.myworkdayjobs.com/External_Career/job/USA-CA-San-Jose-Innovation-Drive/Principal-Engineer_R023639?source=LinkedIn
51,30,AI/ML Senior Engineer,U.S. Bank,"Irving, TX",Mid-Senior level,Full-time,"Matching skills: rag, git, r, aws, scala | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-08,https://careers.usbank.com/global/en/job/UBNAGLOBAL20260002226EXTERNALENGLOBAL/AI-ML-Senior-Engineer?utm_source=linkedin&utm_medium=phenom-feeds
52,28,"Component Quality Engineer, AI Accelerator",Meta,"Fremont, CA",Not Applicable,Full-time,"Matching skills: rag, machine learning, git, r, ner | AI/ML focused role",Limited skill overlap with job requirements,2026-02-07,https://jsv3.recruitics.com/redirect?rx_cid=3239&rx_jobId=a1KDp00000E2fwUMAR&rx_url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F1165738908795859%2F%3Frx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D126320%26rx_id%3Dbb1bf78f-b036-11f0-9905-d1cdaae8ba69%26rx_job%3Da1KDp00000E2fwUMAR%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20260208T001202Z%26rx_vp%3Dslots%26utm_campaign%3DJob%252Bboard%26utm_medium%3Djobs%26utm_source%3DLIpaid
53,27,"Network Engineer, Operations & Repair",Fluidstack,"Austin, TX",Mid-Senior level,Full-time,"Matching skills: rag, scala, sql, tableau, r | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.fluidstack.io/resources/careers?ashby_jid=0d9be66f-d385-46ce-a5a9-d4c42e52d1ef&utm_source=XRYmdBRBaP&source=linkedin
54,25,"Senior Principal Software Engineer, AI Infra Compute",Oracle,"Nashville, TN",Mid-Senior level,Full-time,"Matching skills: rag, r, aws, docker, ner | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/322627/?utm_medium=jobboard&utm_source=LinkedIn
55,25,Sr Principal Software Developer,Oracle,"Austin, TX",Mid-Senior level,Full-time,"Matching skills: rag, r, python, scala, ner | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/322718/?utm_medium=jobboard&utm_source=LinkedIn
56,22,"Network Engineer, Operations & Repair",Fluidstack,United States,Mid-Senior level,Full-time,"Matching skills: rag, scala, sql, tableau, r | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://www.fluidstack.io/resources/careers?ashby_jid=0d9be66f-d385-46ce-a5a9-d4c42e52d1ef&utm_source=XRYmdBRBaP&source=linkedin
57,20,Staff Full Stack / AI Engineer,Piper Companies,"Raleigh, NC",Mid-Senior level,Full-time,"Matching skills: rag, sql, r, scala, ner | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-08,https://careers.pipercompanies.com/details/159386/staff_full_stack_ai_engineer
58,20,Sr Principal Software Developer,Oracle,"Nashville, TN",Mid-Senior level,Full-time,"Matching skills: rag, r, python, scala, ner | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/322718/?utm_medium=jobboard&utm_source=LinkedIn
59,20,Sr Principal Software Developer,Oracle,United States,Mid-Senior level,Full-time,"Matching skills: rag, r, python, scala, ner | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/322718/?utm_medium=jobboard&utm_source=LinkedIn
60,19,Sr. Systems Engineer - Modeling Simulation Analysis Engineer,Raytheon,"Tucson, AZ",Mid-Senior level,Full-time,"Matching skills: r, git, ner, python | AI/ML focused role | Seniority level matches experience",Limited skill overlap with job requirements,2026-02-07,https://careers.rtx.com/global/en/job/RAYTGLOBAL01810575EXTERNALENGLOBAL/Sr-Systems-Engineer-Modeling-Simulation-Analysis-Engineer?utm_source=linkedin&utm_medium=phenom-feeds
